,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
110,India,71101000.0,3900000.0,1700000.0,6461.0,0.625,0.326,0.962,0.937,0.276,35.7,35.7,0.3,0.14,3893.0,26500.0,2300000.0,69000.0,1800000.0,3.0792,4878704.0,17869492.0,478600.0,0.96,0.04,,72.2253,1455550.0,2526950.0,1155000.0,,3.0792,12.0,3.9,602000.0,4.5,,1731.0,21.9,31130000.0,176200000.0,973750000.0,9250000.0,5850000.0,10000.0,27.0,42.0,12.1,12.7,14.1,11.1,4.7,35.7,40.8
111,Nicaragua,323000.0,261800.0,8590.0,5575.0,0.796,0.598,1.0,0.978,0.606,46.2,46.2,3.72,0.34,306.0,382.0,12000.0,500.0,,7.1859,42167.0,718154.0,20918.0,0.95,0.05,,82.4718,12000.0,0.0,0.0,,7.1859,,23.7,,,,325.1,24.9,4970000.0,5000.0,5000.0,5000.0,80000.0,5000.0,,,,4.4,6.9,1.9,5.2,46.2,
112,Estonia,65000.0,38760.0,18000.0,38834.0,0.733,0.754,1.0,0.975,0.201,30.3,30.4,0.15,2.11,35.0,30.0,7100.0,100.0,2000.0,2.1165,199277.0,206631.0,2231.0,0.95,0.05,,99.8235,7100.0,0.0,17500.0,7082.27,2.1165,,21.2,,,1579.0,,21.7,540000.0,5000.0,5000.0,5000.0,5000.0,5000.0,30.5,36.9,24.1,14.9,24.3,6.5,6.8,30.3,34.6
113,Morocco,1690000.0,588020.0,91000.0,7620.0,0.612,0.407,0.956,0.961,0.126,39.5,39.5,,,,327.0,22000.0,500.0,,1.4155,102358.0,3262222.0,84990.0,0.98,0.03,,71.7105,195800.0,50000.0,150000.0,,1.4155,1.0,26.1,,,,,4.8,20000.0,31930000.0,5000.0,5000.0,5000.0,5000.0,14.7,28.6,0.9,7.2,9.7,4.7,9.3,39.5,
114,Lesotho,105000.0,2400.0,5000.0,2718.0,0.698,0.647,1.0,0.98,0.165,44.9,44.9,,,,172.0,280000.0,4700.0,,43.5646,12060.0,202164.0,2073.0,0.96,0.04,,79.3609,2000.0,0.0,0.0,,43.5646,,16.6,,,,19.0,49.7,2100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,29.7,54.7,4.6,72.4,116.0,30.1,22.4,44.9,
115,Grenada,5000.0,,1000.0,15431.0,,,,,,,,,,,3.0,,,68.0,10.8231,7213.0,62204.0,463.0,0.99,0.01,,96.0,,,,,10.8231,,21.3,,,,,,100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,0.7,0.6,0.7,22.9,,
116,Bermuda,3000.0,,500.0,,,,,,,,,,,,1.0,,,,8.1429,19739.0,21107.0,124.0,0.97,0.03,500.0,98.0,,,,,8.1429,,,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,8.9,,
117,Mozambique,1337000.0,60000.0,24000.0,1277.0,0.758,0.655,0.904,0.98,0.494,54.0,54.0,,,,797.0,2100000.0,38000.0,769000.0,3.5101,338850.0,640160.0,18378.0,0.97,0.03,,58.8366,11200.0,0.0,0.0,,3.5101,,7.2,,,,,46.1,13260000.0,4200000.0,5000.0,5000.0,1720000.0,5000.0,14.4,23.4,5.4,13.6,22.0,5.7,3.4,54.0,
118,Cambodia,717000.0,258670.0,64000.0,4695.0,0.684,0.729,0.919,0.978,0.111,,37.9,,,,230.0,75000.0,1200.0,,1.843,79341.0,1104819.0,39000.0,0.92,0.08,,78.3459,124300.0,67000.0,0.0,,1.843,,3.9,,,,,17.7,50000.0,280000.0,5000.0,13690000.0,80000.0,5000.0,21.8,37.4,6.3,4.9,7.0,2.8,1.2,,47.6
119,Ivory Coast,1049000.0,33045.0,15000.0,5365.0,0.637,0.664,0.828,0.979,0.076,41.5,,,,,798.0,380000.0,13000.0,117.0,,2564857.0,1149298.0,21430.0,0.98,0.03,,43.2653,27400.0,0.0,0.0,,,,10.3,32000.0,,,,39.5,8710000.0,7390000.0,5000.0,5000.0,2020000.0,5000.0,13.0,24.3,1.6,8.9,14.9,2.8,3.3,41.5,
120,Sint Maarten,2000.0,,300.0,,,,,,,,,,,,,,,,,28845.0,2191.0,77.0,0.95,0.05,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
121,Egypt,3931000.0,1544750.0,1530000.0,12790.0,0.639,0.421,0.973,0.968,0.196,31.5,31.5,,,,543.0,24000.0,500.0,12000000.0,2.5537,543937.0,3610461.0,120000.0,0.96,0.04,500.0,75.8426,438500.0,397000.0,479000.0,,2.5537,4.0,32.0,559000.0,3.1,,212.0,32.5,4120000.0,76990000.0,5000.0,5000.0,5000.0,5000.0,21.4,42.3,0.4,3.0,4.0,2.0,7.8,31.5,
122,Botswana,97000.0,17100.0,11000.0,16893.0,0.716,0.799,1.0,0.98,0.084,53.3,53.3,,,,81.0,370000.0,5100.0,,15.2483,110268.0,63561.0,3882.0,0.95,0.05,500.0,88.2244,9000.0,0.0,0.0,,15.2483,,18.9,,,,,19.3,1450000.0,5000.0,5000.0,5000.0,120000.0,5000.0,23.7,37.3,10.1,16.1,26.3,6.4,24.9,53.3,
123,Seychelles,4000.0,798.0,200.0,25414.0,,,,,,32.1,46.8,,,,2.0,,,,12.5377,13050.0,29258.0,285.0,0.93,0.07,,95.3211,420.0,0.0,0.0,,12.5377,,14.0,,,,,25.3,90000.0,5000.0,5000.0,5000.0,5000.0,5000.0,21.1,35.3,6.9,8.1,14.4,1.4,4.3,32.1,
124,Gibraltar,1000.0,,600.0,,,,,,,,,,,,,,,,2.9775,11190.0,13389.0,92.0,0.93,0.07,,80.0,,,,,2.9775,,,,,,,,30000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,6.4,,
125,Vanuatu,11000.0,,350.0,2586.0,0.625,0.576,0.947,0.975,0.0,37.6,37.6,,,,7.0,,,,,3257.0,7246.0,253.0,0.98,0.03,,85.0587,,,,,,,25.2,,,,,12.7,220000.0,5000.0,5000.0,5000.0,5000.0,5000.0,24.1,45.0,3.3,18.0,28.1,7.6,7.9,37.6,
126,China,49735000.0,27466400.0,1971000.0,17192.0,0.682,0.701,0.973,0.935,0.118,38.5,38.5,,,,2910.0,,,2579000.0,0.5271,1039675.0,10461170.0,1690000.0,0.91,0.09,,96.3575,2185000.0,660000.0,1170000.0,,0.5271,8.0,6.2,3969000.0,26.0,1736.0,,0.6,68410000.0,24690000.0,20000.0,244110000.0,294300000.0,5000.0,24.7,47.7,1.8,8.1,9.8,6.2,5.2,38.5,41.7
127,Philippines,3776000.0,454700.0,139043.0,8452.0,0.784,0.795,0.999,0.979,0.362,42.3,44.4,8.9,,9620.0,8020.0,120000.0,1600.0,4500000.0,6.465,225525.0,6094307.0,165583.0,0.9,0.1,500.0,96.618,143100.0,62300.0,131000.0,,6.465,1.0,6.4,,,,6069.1,16.7,86370000.0,5150000.0,5000.0,80000.0,1430000.0,5000.0,24.3,41.6,7.0,2.2,3.1,1.2,2.5,42.3,41.7
128,Azerbaijan,362000.0,537920.0,18000.0,14431.0,0.688,0.748,0.996,0.939,0.069,26.6,33.7,0.27,0.01,7.0,286.0,9900.0,200.0,735000.0,2.2011,252228.0,1163922.0,21253.0,0.97,0.03,,99.8053,126950.0,15000.0,330000.0,,2.2011,1.0,19.9,705000.0,7.0,,,6.0,280000.0,8900000.0,5000.0,5000.0,5000.0,5000.0,19.6,39.0,0.2,4.1,6.6,1.6,4.8,26.6,
129,Hong Kong,265000.0,,28000.0,59520.0,,,,,,,53.9,0.0,0.03,2.0,,,,1800.0,0.6511,2962491.0,1007788.0,7107.0,0.81,0.19,,93.5,,,,,0.6511,1.0,,,,,1.0,,1010000.0,130000.0,30000.0,930000.0,900000.0,5000.0,,,,,,,5.8,,41.3
130,Macau,22000.0,,,56078.0,,,,,,,35.0,,,,,,,,,403490.0,145192.0,1533.0,0.86,0.14,,,,,,,,,,,,,,,40000.0,5000.0,5000.0,90000.0,320000.0,5000.0,,,,,,,2.6,,
131,Barbados,10000.0,1675.0,2000.0,13553.0,0.769,0.837,0.991,0.968,0.278,,,3.12,,19.0,13.0,2700.0,100.0,,9.7684,34869.0,99611.0,850.0,0.97,0.03,500.0,99.7,610.0,0.0,430.0,,9.7684,,23.1,1000.0,,,,,260000.0,5000.0,5000.0,5000.0,5000.0,5000.0,8.7,15.0,2.3,0.6,0.9,0.3,8.4,,
132,Gabon,61000.0,5640.0,4000.0,15970.0,,,,,,38.0,38.0,,,,35.0,46000.0,1000.0,,,416651.0,48392.0,4476.0,0.98,0.02,,83.2379,4700.0,2000.0,0.0,,,,15.0,195000.0,2.0,,,33.4,1150000.0,170000.0,5000.0,5000.0,90000.0,5000.0,,,,8.4,14.2,2.4,20.4,38.0,
133,Sao Tome and Principe,7000.0,570.0,300.0,,,,,,,56.3,56.3,,,,7.0,,100.0,,3.2517,2139.0,39608.0,260.0,0.96,0.04,,91.7471,,,,,3.2517,,12.4,,,,,66.7,140000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5.4,9.5,1.4,1.5,2.2,0.8,13.6,56.3,
134,Saint Lucia,6000.0,,831.0,,,,,,,51.2,51.2,,,,18.0,,100.0,,21.4415,8338.0,71227.0,518.0,0.97,0.03,,90.1,,,,,21.4415,2.0,19.7,,,,1.0,25.0,,,,,,,,,,7.9,14.3,1.7,15.3,,
135,Saint Vincent and the Grenadines,4000.0,,854.0,,,,,,,,,,,,12.0,1200.0,100.0,,36.5407,,,410.0,0.97,0.03,,95.6322,,,,,36.5407,,24.1,,,,2.0,,100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,1.0,1.3,0.6,18.8,,
136,Saint Kitts and Nevis,2000.0,,450.0,,,,,,,,,,,,,,100.0,,36.0859,7725.0,50285.0,220.0,0.96,0.04,,97.8,,,,,36.0859,,22.9,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,5.1,,
137,Turks and Caicos Islands,1000.0,,100.0,,,,,,,,,,,,,,,,5.6543,25748.0,2689.0,,,,,98.0,,,,,5.6543,,,,,,,,30000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,8.3,,
138,Nigeria,6154000.0,224200.0,362400.0,5187.0,0.627,0.687,0.806,0.967,0.047,35.1,35.1,,,,2280.0,1700000.0,49000.0,24400000.0,34.524,1308568.0,1670455.0,68556.0,0.98,0.02,500.0,59.5681,143000.0,80000.0,0.0,,34.524,1.0,8.9,1258000.0,36.9,,841.0,40.1,78050000.0,77300000.0,5000.0,10000.0,2290000.0,5000.0,4.8,9.0,0.5,3.5,5.0,1.9,8.5,35.1,
139,Trinidad and Tobago,43000.0,7695.0,9000.0,25031.0,,,,,,40.3,,,,,183.0,10000.0,200.0,,30.6495,78849.0,330519.0,3802.0,0.97,0.03,,98.9696,4050.0,0.0,0.0,,30.6495,1.0,18.6,61000.0,0.2,,46.0,,880000.0,80000.0,300000.0,5000.0,30000.0,5000.0,,,,8.7,13.9,3.6,3.2,40.3,
