Age;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
22;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29222;29124;30401;31614;33757;34578;34200;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33779;34351;34130;33206;32322;29439;27350;24214;21105;17418;14120;11382;8846;6001;3372;
23;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21720;22620;22815;24537;24791;25931;25747;27495;28527;29070;29028;29222;29124;30401;31614;33757;34577;34200;32283;31204;31425;32814;32820;33187;34899;34535;34853;33439;33779;34350;34130;33204;32321;29439;27350;24214;21105;17415;14120;11380;8845;6000;3370;
24;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21720;22620;22814;24536;24791;25931;25747;27495;28527;29070;29028;29222;29124;30401;31614;33756;34577;34200;32283;31204;31425;32814;32820;33187;34897;34535;34853;33439;33779;34349;34130;33202;32321;29438;27349;24212;21103;17414;14118;11379;8845;;;
25;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21720;22620;22814;24535;24791;25931;25747;27494;28527;29070;29027;29222;29123;30401;31614;33756;34577;34200;32283;31204;31425;32814;32820;33187;34897;34535;34853;33438;33779;34347;34130;33198;32320;29435;27347;24211;21101;17413;14116;11377;8844;;;
26;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21056;20751;21475;21545;21719;22620;22814;24535;24791;25931;25746;27494;28527;29069;29026;29221;29123;30400;31614;33756;34577;34200;32283;31204;31425;32814;32820;33186;34897;34535;34852;33437;33777;34347;34129;33196;32317;29431;27345;24207;21101;17413;14115;;;;;
27;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21055;20751;21474;21544;21719;22620;22810;24535;24789;25931;25744;27491;28526;29069;29026;29220;29123;30400;31614;33755;34576;34200;32282;31203;31425;32812;32820;33185;34896;34534;34852;33435;33775;34344;34125;33194;32317;29429;27344;24207;21099;17411;14114;;;;;
28;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21055;20750;21473;21543;21717;22618;22808;24535;24789;25930;25743;27490;28525;29069;29026;29218;29122;30400;31611;33754;34574;34200;32281;31203;31425;32811;32820;33184;34892;34533;34851;33434;33775;34343;34122;33193;32314;29425;27344;24206;21099;17410;;;;;;
29;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20459;21055;20749;21473;21541;21716;22616;22808;24531;24788;25929;25737;27488;28521;29068;29025;29218;29122;30400;31610;33754;34574;34200;32280;31202;31424;32810;32819;33183;34891;34532;34847;33433;33773;34341;34112;33188;32313;29420;27344;24202;21096;;;;;;;
30;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20852;20604;20459;21054;20749;21473;21538;21715;22615;22806;24530;24787;25928;25736;27485;28521;29067;29024;29217;29122;30400;31608;33753;34572;34200;32280;31201;31423;32807;32819;33181;34889;34527;34844;33428;33770;34339;34108;33184;32309;29418;27344;24201;;;;;;;;
31;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20852;20602;20456;21053;20748;21473;21537;21715;22610;22805;24525;24786;25927;25734;27482;28519;29065;29024;29216;29121;30396;31606;33753;34572;34198;32278;31199;31423;32807;32816;33181;34889;34520;34842;33425;33768;34334;34102;33181;32308;29412;27343;;;;;;;;;
