Age,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
10,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
11,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
12,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
13,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
14,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
15,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,262.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,680.0,496.0,427.0,492.0,608.0,619.0,1180.0,1364.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28527.0,29070.0,29029.0,29224.0,29124.0,30401.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34899.0,34535.0,34853.0,33439.0,33780.0,34351.0,34130.0,33206.0,32322.0,29441.0,27350.0,24216.0,21107.0,17419.0,14120.0,11387.0,8848.0,6004.0,3372.0,1441.0,462.0,279.0,72.0,1.0
16,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,261.0,352.0,391.0,406.0,433.0,464.0,521.0,506.0,556.0,639.0,679.0,496.0,427.0,492.0,608.0,619.0,1180.0,1363.0,1349.0,1536.0,1691.0,1909.0,2020.0,2223.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8041.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21721.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28526.0,29070.0,29029.0,29224.0,29124.0,30400.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32820.0,33187.0,34898.0,34535.0,34853.0,33439.0,33780.0,34351.0,34128.0,33205.0,32322.0,29441.0,27349.0,24215.0,21107.0,17418.0,14103.0,11386.0,8847.0,6001.0,3366.0,1439.0,460.0,275.0,71.0,1.0
17,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,261.0,352.0,390.0,406.0,433.0,464.0,521.0,505.0,556.0,636.0,679.0,495.0,426.0,492.0,607.0,619.0,1180.0,1363.0,1349.0,1536.0,1691.0,1909.0,2020.0,2222.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4038.0,4557.0,4985.0,5590.0,6279.0,8040.0,9645.0,10361.0,11464.0,16089.0,18958.0,19647.0,20854.0,20605.0,20461.0,21057.0,20752.0,21476.0,21546.0,21720.0,22620.0,22815.0,24537.0,24793.0,25931.0,25747.0,27495.0,28526.0,29070.0,29029.0,29224.0,29124.0,30398.0,31614.0,33757.0,34578.0,34201.0,32283.0,31205.0,31425.0,32814.0,32819.0,33186.0,34898.0,34535.0,34853.0,33437.0,33780.0,34351.0,34128.0,33205.0,32321.0,29440.0,27349.0,24214.0,21105.0,17392.0,14093.0,11379.0,8840.0,5979.0,3348.0,1419.0,450.0,270.0,71.0,1.0
18,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,276.0,261.0,352.0,390.0,406.0,433.0,463.0,521.0,504.0,556.0,636.0,677.0,495.0,426.0,492.0,606.0,619.0,1179.0,1362.0,1349.0,1536.0,1691.0,1909.0,2020.0,2222.0,2368.0,2621.0,2775.0,2874.0,2979.0,3032.0,3213.0,3347.0,3752.0,4037.0,4557.0,4985.0,5589.0,6279.0,8040.0,9645.0,10361.0,11464.0,16089.0,18957.0,19647.0,20854.0,20605.0,20461.0,21056.0,20752.0,21475.0,21546.0,21719.0,22619.0,22812.0,24537.0,24792.0,25927.0,25743.0,27495.0,28525.0,29067.0,29028.0,29222.0,29122.0,30397.0,31613.0,33757.0,34577.0,34199.0,32283.0,31205.0,31422.0,32813.0,32818.0,33184.0,34895.0,34531.0,34848.0,33433.0,33775.0,34344.0,34125.0,33202.0,32318.0,29403.0,27325.0,24108.0,20944.0,17303.0,13992.0,11288.0,8660.0,5866.0,3162.0,1118.0,430.0,257.0,61.0,-2.0
19,2.0,9.0,9.0,10.0,23.0,36.0,52.0,50.0,65.0,95.0,108.0,139.0,145.0,151.0,181.0,208.0,275.0,261.0,352.0,390.0,406.0,433.0,463.0,521.0,504.0,555.0,634.0,677.0,494.0,425.0,491.0,606.0,618.0,1179.0,1362.0,1349.0,1535.0,1691.0,1909.0,2020.0,2221.0,2368.0,2621.0,2775.0,2873.0,2978.0,3031.0,3213.0,3347.0,3752.0,4037.0,4556.0,4984.0,5589.0,6279.0,8040.0,9645.0,10361.0,11464.0,16088.0,18957.0,19647.0,20852.0,20603.0,20457.0,21054.0,20752.0,21473.0,21544.0,21717.0,22615.0,22809.0,24530.0,24778.0,25916.0,25737.0,27488.0,28516.0,29057.0,29014.0,29209.0,29112.0,30389.0,31605.0,33751.0,34570.0,34196.0,32280.0,31199.0,31416.0,32807.0,32811.0,33172.0,34879.0,34510.0,34827.0,33410.0,33748.0,34310.0,34093.0,33180.0,32174.0,29302.0,26916.0,23613.0,20525.0,16829.0,13535.0,10823.0,8128.0,4933.0,1562.0,497.0,249.0,76.0,-4.0,
